主頻,#genre#
八大精彩台,http://a03.icqii.com/litv.php?id=4gtv-4gtv034 
八大綜藝台,http://a03.icqii.com/litv.php?id=4gtv-4gtv039 
中視,http://a03.icqii.com/litv.php?id=4gtv-4gtv040
華視,http://a03.icqii.com/litv.php?id=4gtv-4gtv041
公視戲劇,http://a03.icqii.com/litv.php?id=4gtv-4gtv042
客家電視台,http://a03.icqii.com/litv.php?id=4gtv-4gtv043
靖天卡通台,http://a03.icqii.com/litv.php?id=4gtv-4gtv044
靖洋戲劇台,http://a03.icqii.com/litv.php?id=4gtv-4gtv045
靖天綜合台,http://a03.icqii.com/litv.php?id=4gtv-4gtv046
靖天日本台,http://a03.icqii.com/litv.php?id=4gtv-4gtv047
非凡商業,http://a03.icqii.com/litv.php?id=4gtv-4gtv048
采昌影劇,http://a03.icqii.com/litv.php?id=4gtv-4gtv049
台視新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv051
華視新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv052
GinxTV,http://a03.icqii.com/litv.php?id=4gtv-4gtv053 
靖天歡樂台,http://a03.icqii.com/litv.php?id=4gtv-4gtv054 
靖天映畫,http://a03.icqii.com/litv.php?id=4gtv-4gtv055 
台視財經,http://a03.icqii.com/litv.php?id=4gtv-4gtv056 
靖洋卡通台,http://a03.icqii.com/litv.php?id=4gtv-4gtv057 
靖天戲劇台,http://a03.icqii.com/litv.php?id=4gtv-4gtv058 
古典音樂台,http://a03.icqii.com/litv.php?id=4gtv-4gtv059 
靖天電影台,http://a03.icqii.com/litv.php?id=4gtv-4gtv061 
靖天育樂台,http://a03.icqii.com/litv.php?id=4gtv-4gtv062 
靖天國際台,http://a03.icqii.com/litv.php?id=4gtv-4gtv063 
中視菁采,http://a03.icqii.com/litv.php?id=4gtv-4gtv064
靖天資訊台,http://a03.icqii.com/litv.php?id=4gtv-4gtv065 
台視,http://a03.icqii.com/litv.php?id=4gtv-4gtv066 
tvbs精采台,http://a03.icqii.com/litv.php?id=4gtv-4gtv067 
tvbs歡樂台,http://a03.icqii.com/litv.php?id=4gtv-4gtv068 
愛爾達娛樂,http://a03.icqii.com/litv.php?id=4gtv-4gtv070 
tvbs新聞台,http://a03.icqii.com/litv.php?id=4gtv-4gtv072 
tvbs,http://a03.icqii.com/litv.php?id=4gtv-4gtv073
中視新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv074 
鏡新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv075
CATCHPLAY電影台,http://a03.icqii.com/litv.php?id=4gtv-4gtv076
TRACE SPORTS STARS,http://a03.icqii.com/litv.php?id=4gtv-4gtv077
阿里郎,http://a03.icqii.com/litv.php?id=4gtv-4gtv079 
中視經典,http://a03.icqii.com/litv.php?id=4gtv-4gtv080
TRACE URBAN,http://a03.icqii.com/litv.php?id=4gtv-4gtv082 
MEZZO LIVE,http://a03.icqii.com/litv.php?id=4gtv-4gtv083 
國會頻道1,http://a03.icqii.com/litv.php?id=4gtv-4gtv084
國會頻道2,http://a03.icqii.com/litv.php?id=4gtv-4gtv085
智林體育台,http://a03.icqii.com/litv.php?id=4gtv-4gtv101
國際財經,http://a03.icqii.com/litv.php?id=4gtv-4gtv104
第1商業台,http://a03.icqii.com/litv.php?id=4gtv-4gtv109
東森新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv152
東森財經新聞,http://a03.icqii.com/litv.php?id=4gtv-4gtv153
民視,http://a03.icqii.com/litv.php?id=4gtv-4gtv155
民視台灣台,http://a03.icqii.com/litv.php?id=4gtv-4gtv156
美國之音,http://a03.icqii.com/litv.php?id=litv-ftv03
民視旅遊,http://a03.icqii.com/litv.php?id=litv-ftv07
民視影劇,http://a03.icqii.com/litv.php?id=litv-ftv09
半島新聞,http://a03.icqii.com/litv.php?id=litv-ftv10
民視新聞台,http://a03.icqii.com/litv.php?id=litv-ftv13
好消息,http://a03.icqii.com/litv.php?id=litv-ftv16
好消息2台,http://a03.icqii.com/litv.php?id=litv-ftv17
龍華卡通,http://a03.icqii.com/litv.php?id=litv-longturn01 
龍華電影,http://a03.icqii.com/litv.php?id=litv-longturn03 
博斯魅力,http://a03.icqii.com/litv.php?id=litv-longturn04 
博斯高球1,http://a03.icqii.com/litv.php?id=litv-longturn05
博斯高球2,http://a03.icqii.com/litv.php?id=litv-longturn06
博斯運動1,http://a03.icqii.com/litv.php?id=litv-longturn07
博斯運動2,http://a03.icqii.com/litv.php?id=litv-longturn08
博斯網球,http://a03.icqii.com/litv.php?id=litv-longturn09 
博斯無限,http://a03.icqii.com/litv.php?id=litv-longturn10 
龍華日韓,http://a03.icqii.com/litv.php?id=litv-longturn11 
龍華偶像,http://a03.icqii.com/litv.php?id=litv-longturn12 
博斯無限2,http://a03.icqii.com/litv.php?id=litv-longturn13
寰宇新聞台,http://a03.icqii.com/litv.php?id=litv-longturn14
寰宇新聞台灣,http://a03.icqii.com/litv.php?id=litv-longturn15
亞洲旅遊台,http://a03.icqii.com/litv.php?id=litv-longturn17
龍華戲劇,http://a03.icqii.com/litv.php?id=litv-longturn18
Smart知識台,http://a03.icqii.com/litv.php?id=litv-longturn19
生活英語台,http://a03.icqii.com/litv.php?id=litv-longturn20
龍華經典,http://a03.icqii.com/litv.php?id=litv-longturn21
台灣戲劇台,http://a03.icqii.com/litv.php?id=litv-longturn22

秒播2,#genre#
民視台灣台,http://bear.serv00.net/litv.php?id=4gtv-4gtv001 
民視,http://bear.serv00.net/litv.php?id=4gtv-4gtv002
民視第一台,http://bear.serv00.net/litv.php?id=4gtv-4gtv003
民視綜藝,http://bear.serv00.net/litv.php?id=4gtv-4gtv004
豬哥亮歌廳秀,http://bear.serv00.net/litv.php?id=4gtv-4gtv006 
中天新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv009
非凡新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv010
影迷數位電影台,http://bear.serv00.net/litv.php?id=4gtv-4gtv011
視納華仁紀實頻道,http://bear.serv00.net/litv.php?id=4gtv-4gtv013
時尚運動X,http://bear.serv00.net/litv.php?id=4gtv-4gtv014
GLOBETROTTER,http://bear.serv00.net/litv.php?id=4gtv-4gtv016
amc電影台,http://bear.serv00.net/litv.php?id=4gtv-4gtv017 
/達文西頻道,http://bear.serv00.net/litv.php?id=4gtv-4gtv018
八大精彩台,http://bear.serv00.net/litv.php?id=4gtv-4gtv034 
八大綜藝台,http://bear.serv00.net/litv.php?id=4gtv-4gtv039 
中視,http://bear.serv00.net/litv.php?id=4gtv-4gtv040
華視,http://bear.serv00.net/litv.php?id=4gtv-4gtv041
公視戲劇,http://bear.serv00.net/litv.php?id=4gtv-4gtv042
客家電視台,http://bear.serv00.net/litv.php?id=4gtv-4gtv043
靖天卡通台,http://bear.serv00.net/litv.php?id=4gtv-4gtv044
靖洋戲劇台,http://bear.serv00.net/litv.php?id=4gtv-4gtv045
靖天綜合台,http://bear.serv00.net/litv.php?id=4gtv-4gtv046
靖天日本台,http://bear.serv00.net/litv.php?id=4gtv-4gtv047
非凡商業,http://bear.serv00.net/litv.php?id=4gtv-4gtv048
采昌影劇,http://bear.serv00.net/litv.php?id=4gtv-4gtv049
台視新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv051
華視新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv052
GinxTV,http://bear.serv00.net/litv.php?id=4gtv-4gtv053 
靖天歡樂台,http://bear.serv00.net/litv.php?id=4gtv-4gtv054 
靖天映畫,http://bear.serv00.net/litv.php?id=4gtv-4gtv055 
台視財經,http://bear.serv00.net/litv.php?id=4gtv-4gtv056 
靖洋卡通台,http://bear.serv00.net/litv.php?id=4gtv-4gtv057 
靖天戲劇台,http://bear.serv00.net/litv.php?id=4gtv-4gtv058 
古典音樂台,http://bear.serv00.net/litv.php?id=4gtv-4gtv059 
靖天電影台,http://bear.serv00.net/litv.php?id=4gtv-4gtv061 
靖天育樂台,http://bear.serv00.net/litv.php?id=4gtv-4gtv062 
靖天國際台,http://bear.serv00.net/litv.php?id=4gtv-4gtv063 
中視菁采,http://bear.serv00.net/litv.php?id=4gtv-4gtv064
靖天資訊台,http://bear.serv00.net/litv.php?id=4gtv-4gtv065 
台視,http://bear.serv00.net/litv.php?id=4gtv-4gtv066 
tvbs精采台,http://bear.serv00.net/litv.php?id=4gtv-4gtv067 
tvbs歡樂台,http://bear.serv00.net/litv.php?id=4gtv-4gtv068 
愛爾達娛樂,http://bear.serv00.net/litv.php?id=4gtv-4gtv070 
tvbs新聞台,http://bear.serv00.net/litv.php?id=4gtv-4gtv072 
tvbs,http://bear.serv00.net/litv.php?id=4gtv-4gtv073
中視新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv074 
鏡新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv075
CATCHPLAY電影台,http://bear.serv00.net/litv.php?id=4gtv-4gtv076
TRACE SPORTS STARS,http://bear.serv00.net/litv.php?id=4gtv-4gtv077
阿里郎,http://bear.serv00.net/litv.php?id=4gtv-4gtv079 
中視經典,http://bear.serv00.net/litv.php?id=4gtv-4gtv080
TRACE URBAN,http://bear.serv00.net/litv.php?id=4gtv-4gtv082 
MEZZO LIVE,http://bear.serv00.net/litv.php?id=4gtv-4gtv083 
國會頻道1,http://bear.serv00.net/litv.php?id=4gtv-4gtv084
國會頻道2,http://bear.serv00.net/litv.php?id=4gtv-4gtv085
智林體育台,http://bear.serv00.net/litv.php?id=4gtv-4gtv101
國際財經,http://bear.serv00.net/litv.php?id=4gtv-4gtv104
第1商業台,http://bear.serv00.net/litv.php?id=4gtv-4gtv109
東森新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv152
東森財經新聞,http://bear.serv00.net/litv.php?id=4gtv-4gtv153
民視,http://bear.serv00.net/litv.php?id=4gtv-4gtv155
民視台灣台,http://bear.serv00.net/litv.php?id=4gtv-4gtv156
美國之音,http://bear.serv00.net/litv.php?id=litv-ftv03
民視旅遊,http://bear.serv00.net/litv.php?id=litv-ftv07
民視影劇,http://bear.serv00.net/litv.php?id=litv-ftv09
半島新聞,http://bear.serv00.net/litv.php?id=litv-ftv10
民視新聞台,http://bear.serv00.net/litv.php?id=litv-ftv13
好消息,http://bear.serv00.net/litv.php?id=litv-ftv16
好消息2台,http://bear.serv00.net/litv.php?id=litv-ftv17
龍華卡通,http://bear.serv00.net/litv.php?id=litv-longturn01 
龍華電影,http://bear.serv00.net/litv.php?id=litv-longturn03 
博斯魅力,http://bear.serv00.net/litv.php?id=litv-longturn04 
博斯高球1,http://bear.serv00.net/litv.php?id=litv-longturn05
博斯高球2,http://bear.serv00.net/litv.php?id=litv-longturn06
博斯運動1,http://bear.serv00.net/litv.php?id=litv-longturn07
博斯運動2,http://bear.serv00.net/litv.php?id=litv-longturn08
博斯網球,http://bear.serv00.net/litv.php?id=litv-longturn09 
博斯無限,http://bear.serv00.net/litv.php?id=litv-longturn10 
龍華日韓,http://bear.serv00.net/litv.php?id=litv-longturn11 
龍華偶像,http://bear.serv00.net/litv.php?id=litv-longturn12 
博斯無限2,http://bear.serv00.net/litv.php?id=litv-longturn13
寰宇新聞台,http://bear.serv00.net/litv.php?id=litv-longturn14
寰宇新聞台灣,http://bear.serv00.net/litv.php?id=litv-longturn15
亞洲旅遊台,http://bear.serv00.net/litv.php?id=litv-longturn17
龍華戲劇,http://bear.serv00.net/litv.php?id=litv-longturn18
Smart知識台,http://bear.serv00.net/litv.php?id=litv-longturn19
生活英語台,http://bear.serv00.net/litv.php?id=litv-longturn20
龍華經典,http://bear.serv00.net/litv.php?id=litv-longturn21
台灣戲劇台,http://bear.serv00.net/litv.php?id=litv-longturn22
